579,156,0.000577939,7.00877,12
437,187,0.0004068,6.86951,15
430,189,0.00041298,6.61075,13
466,207,0.000437088,6.94545,17
16,16,1.5459e-05,5.5,10
407,152,0.000379378,6.59085,12
422,168,0.000387666,6.6126,14
96,27,8.8835e-05,8.05422,11
576,87,0.000541515,6.73002,7
634,119,0.000612022,7.05254,13
90,57,8.6198e-05,6.80982,15
560,141,0.000543287,6.93239,11
83,47,7.5839e-05,5.89116,13
502,146,0.000671572,6.7343,14
66,39,7.4599e-05,6.13445,13
501,146,0.000635458,6.69877,10
81,44,7.8014e-05,6.51064,10
46,37,4.4064e-05,7.86905,19
386,160,0.00038294,6.8064,18
429,190,0.000406406,6.8082,16
540,132,0.000511953,6.77443,14
453,166,0.000424199,6.64375,10
464,181,0.000443784,6.87607,15
651,198,0.000632014,7.22193,14
406,189,0.000382828,6.62845,13
423,187,0.000395873,6.83737,15
453,203,0.000432891,6.81716,15
17,15,1.6811e-05,5.38235,7
405,165,0.000381798,6.69777,13
542,140,0.000533925,6.95327,16
135,38,0.000120929,8.6913,14
67,34,5.9685e-05,7.91453,12
452,194,0.000427834,6.75905,16
432,195,0.000394098,6.80921,13
521,162,0.000513405,6.9145,14
111,79,0.000101297,7.82741,17
590,98,0.000572428,6.83349,14
549,148,0.000696298,6.89877,14
447,184,0.000490945,6.72819,12
460,211,0.000484138,6.95679,13
394,140,0.000361511,6.4721,8
65,45,6.0453e-05,7.79832,19
510,155,0.000468831,6.72898,11
525,222,0.000492731,6.77065,16
533,130,0.000515692,6.88877,14
416,184,0.000391773,6.96346,20
19,18,1.7954e-05,7.47222,14
428,181,0.000390243,6.7876,15
552,149,0.000519896,6.85234,11
461,198,0.000444407,7.30037,16
496,174,0.000460587,7.07913,12
88,49,8.0735e-05,7.53896,15
601,101,0.000595932,6.78992,11
452,206,0.000427126,7.27904,16
560,132,0.000537097,6.86391,12
43,36,4.2016e-05,7.33333,16
480,180,0.000449183,6.94675,8
459,216,0.000491298,7.02829,12
80,55,0.00016253,7.75887,17
68,46,7.3257e-05,6.6281,16
525,219,0.000545901,6.79652,19
401,153,0.000368665,6.59748,13
632,195,0.000626044,7.22292,15
416,188,0.000446595,6.95522,18
496,210,0.000425359,7.47886,14
20,20,1.8592e-05,7.91667,16
659,129,0.000655296,7.1188,17
474,197,0.000464092,6.95585,15
62,41,5.8447e-05,7.63393,19
423,170,0.000395088,6.56225,10
514,158,0.0004932,6.83297,16
394,166,0.000369191,6.625,16
420,181,0.000398888,6.91263,15
410,178,0.00038777,6.70621,18
386,175,0.000371753,6.51458,11
448,176,0.000431598,6.87753,20
389,164,0.000373803,6.53546,14
466,194,0.000454271,6.90413,16
453,194,0.00044752,6.61615,10
442,193,0.000412387,6.83655,17
590,129,0.000560137,6.82882,11
454,197,0.000443624,7.0087,21
57,39,5.2719e-05,5.57547,11
18,17,1.7119e-05,7.25714,13
387,149,0.000356195,6.43586,7
572,175,0.000524116,7.08036,17
417,179,0.000399347,6.6449,11
596,175,0.000572544,7.10293,17
382,168,0.000474713,6.38881,8
522,150,0.000565322,6.74273,12
580,151,0.000621516,7.11359,21
458,208,0.000476161,6.90999,18
485,176,0.00046756,6.98945,12
580,152,0.000569729,6.98928,14
409,152,0.000389713,6.71724,12
403,161,0.000360936,6.64895,17
636,186,0.000615161,7.13375,8
48,29,4.4503e-05,5.71591,9
613,104,0.000789199,6.96051,14
450,203,0.000670695,6.84375,13
